Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
121,189,Anthony Ryan,M35-44,82,Open,Midland TC,22:20,2:16,1:18:43,1:16,57:38,2:42:13
122,159,Daniel Mc Dermott,M35-44,83,Open,Midland TC,26:55,2:17,1:22:57,1:45,48:42,2:42:36
123,137,Lizanne Healy,F35-44,40,Female,,25:17,2:52,1:18:39,1:40,54:20,2:42:48
124,155,Barry Lyons,M45-59,84,Open,,23:03,2:55,1:09:24,1:49,1:05:44,2:42:55
125,136,Kira Handley,F25-34,41,Female,,25:40,1:46,1:22:25,1:24,51:52,2:43:07
126,164,Wendy Mc Mahon,F45-59,42,Female,,24:03,3:59,1:26:22,1:34,48:32,2:44:30
127,165,Aidan Mc Nally,M45-59,85,Open,Setanta TC,25:35,2:53,1:17:16,1:27,58:18,2:45:29
128,191,Geoffrey Shortle,M25-34,86,Open,,25:34,2:21,24:30,58:38,56:18,2:47:21
129,127,Mark Friel,M45-59,87,Open,Triangle Triathlon Club,24:35,2:24,1:19:16,1:35,59:55,2:47:45
130,141,Des Hogan,M45-59,88,Open,Wicklow TC,25:20,3:48,1:18:27,2:36,58:08,2:48:19
131,122,Emma Duggan,F25-34,43,Female,,25:25,2:30,1:27:09,1:51,52:19,2:49:14
132,157,Rory Mc Connell,M25-34,89,Open,Setanta TC,24:37,3:33,1:25:38,1:57,54:22,2:50:07
133,112,Niall Comerford,M45-59,90,Open,Edenderry TC,30:10,3:37,1:19:27,2:35,56:06,2:51:55
134,132,Triona Grennan,F45-59,44,Female,Edenderry TC,26:35,2:20,1:19:01,3:10,1:01:04,2:52:10
135,148,Ian King,M45-59,91,Open,,30:23,4:13,1:18:22,2:07,57:57,2:53:02
136,176,Ericka Murray,F35-44,45,Female,Sligo TC,28:32,2:11,1:16:23,1:04,1:05:26,2:53:36
137,143,James Irving,M25-34,92,Open,,30:44,5:00,1:31:19,1:55,44:42,2:53:40
138,108,Noreen Carwood Smith,F45-59,46,Female,,27:22,3:07,1:26:40,1:55,55:37,2:54:41
139,105,Wesley Burke,M45-59,93,Open,,27:39,5:14,1:15:58,2:49,1:03:29,2:55:09
140,120,Sean Donaile,M45-59,94,Open,3d Tri,30:48,3:13,1:23:54,2:05,56:33,2:56:33
141,151,Robert Lanigan,M45-59,95,Open,,30:50,3:21,1:19:02,1:59,1:01:42,2:56:54
142,135,Laszlo Hancz,M45-59,96,Open,Belpark TC,25:26,3:31,1:28:20,3:02,1:00:31,3:00:50
143,126,Evelyn Fitzpatrick,F45-59,47,Female,Pulse TC,27:23,3:25,1:29:39,2:30,1:09:58,3:12:55
144,177,Edel Mutphy,F35-44,48,Female,,26:07,2:43,1:36:16,1:36,1:08:03,3:14:45
145,130,Bernadette Glancy,F60,49,Female,Lough Key TC,45:02,5:16,1:35:37,2:05,1:05:25,3:33:25
146,147,Kevin Kelly,M60,97,Open,,32:47,5:56,1:49:43,1:45,1:05:12,3:35:23
147,150,Roman Kvasnyy,M45-59,98,Open,Belpark TC,32:43,2:39,1:27:21,2:00,1:31:59,3:36:42
148,109,Marie Caseybreen,F60,50,Female,Wexford TC,42:09,6:28,1:44:46,2:46,1:20:51,3:57:00
,129,Martin Geraghty,M45-59,,Open,,,,,,,
